Date,Low,Open,Volume,High,Close
6/11/2019,0.51,0.53,"735,189",0.53,0.53
6/12/2019,0.52,0.52,"1,496,435",0.54,0.54
6/13/2019,0.52,0.52,"3,642,866",0.62,0.62
6/14/2019,0.58,0.62,"1,133,828",0.63,0.58
6/17/2019,0.55,0.6,"1,137,952",0.6,0.55
6/18/2019,0.54,0.56,"673,290",0.57,0.55
6/19/2019,0.53,0.58,"1,504,341",0.59,0.57
6/20/2019,0.55,0.57,"854,414",0.57,0.56
6/21/2019,0.55,0.57,"3,848,230",0.59,0.55
6/24/2019,0.54,0.57,"1,248,601",0.57,0.56
6/25/2019,0.56,0.56,"1,068,421",0.58,0.58
6/26/2019,0.46,0.59,"5,398,164",0.59,0.47
6/27/2019,0.47,0.49,"841,117",0.49,0.48
6/28/2019,0.47,0.49,"1,508,898",0.51,0.48
7/1/2019,0.47,0.48,"819,572",0.5,0.47
7/2/2019,0.43,0.47,"1,473,131",0.48,0.46
7/3/2019,0.45,0.46,"392,785",0.46,0.45
7/5/2019,0.45,0.45,"974,379",0.5,0.48
7/8/2019,0.47,0.48,"629,853",0.49,0.48
7/9/2019,0.45,0.48,"706,537",0.49,0.46
7/10/2019,0.44,0.46,"1,305,991",0.46,0.45
7/11/2019,0.43,0.46,"849,424",0.46,0.43
7/12/2019,0.43,0.44,"1,099,293",0.45,0.43
7/15/2019,0.43,0.43,"722,797",0.45,0.44
7/16/2019,0.43,0.44,"764,800",0.44,0.44
7/17/2019,0.43,0.44,"1,135,128",0.46,0.44
7/18/2019,0.4,0.46,"2,100,532",0.46,0.4
7/19/2019,0.39,0.4,"1,123,798",0.42,0.4
7/22/2019,0.4,0.4,"7,112,004",0.45,0.44
7/23/2019,0.41,0.46,"805,910",0.46,0.42
7/24/2019,0.41,0.42,"1,637,715",0.48,0.47
7/25/2019,0.45,0.47,"340,264",0.48,0.46
7/26/2019,0.45,0.46,"1,166,543",0.48,0.46
7/29/2019,0.45,0.46,"1,214,543",0.5,0.49
7/30/2019,0.48,0.5,"545,390",0.5,0.49
7/31/2019,0.46,0.49,"1,210,427",0.5,0.48
8/1/2019,0.43,0.48,"1,082,859",0.5,0.43
8/2/2019,0.39,0.43,"2,193,777",0.46,0.42
8/5/2019,0.4,0.42,"768,681",0.43,0.43
8/6/2019,0.41,0.42,"438,434",0.43,0.43
8/7/2019,0.41,0.43,"592,065",0.44,0.42
8/8/2019,0.41,0.42,"2,208,279",0.43,0.42
8/9/2019,0.41,0.41,"659,400",0.43,0.42
8/12/2019,0.4,0.42,"587,927",0.42,0.4
8/13/2019,0.39,0.4,"1,429,904",0.41,0.4
8/14/2019,0.38,0.41,"1,091,958",0.41,0.39
8/15/2019,0.38,0.39,"762,022",0.4,0.38
8/16/2019,0.38,0.39,"692,838",0.4,0.39
8/19/2019,0.38,0.39,"637,901",0.4,0.39
8/20/2019,0.38,0.38,"515,034",0.4,0.39
8/21/2019,0.38,0.39,"858,716",0.41,0.4
8/22/2019,0.39,0.39,"356,629",0.41,0.4
8/23/2019,0.39,0.4,"591,610",0.43,0.39
8/26/2019,0.38,0.39,"705,079",0.4,0.39
8/27/2019,0.38,0.39,"565,817",0.39,0.38
8/28/2019,0.38,0.38,"818,375",0.39,0.39
8/29/2019,0.37,0.39,"621,701",0.39,0.38
8/30/2019,0.38,0.38,"548,142",0.39,0.38
9/3/2019,0.37,0.38,"598,873",0.39,0.38
9/4/2019,0.37,0.38,"460,187",0.39,0.37
9/5/2019,0.37,0.38,"795,661",0.39,0.37
9/6/2019,0.37,0.39,"1,690,346",0.39,0.37
9/9/2019,0.35,0.39,"1,590,195",0.39,0.36
9/10/2019,0.37,0.39,"3,353,809",0.41,0.38
9/11/2019,0.38,0.39,"10,643,650",0.5,0.47
9/12/2019,0.42,0.48,"4,010,039",0.48,0.44
9/13/2019,0.41,0.45,"1,153,781",0.45,0.43
9/16/2019,0.4,0.42,"1,299,368",0.42,0.41
9/17/2019,0.38,0.42,"1,300,471",0.43,0.39
9/18/2019,0.39,0.39,"839,452",0.41,0.41
9/19/2019,0.39,0.41,"1,248,130",0.42,0.41
9/20/2019,0.39,0.4,"3,557,993",0.45,0.44
9/23/2019,0.4,0.41,"1,130,225",0.45,0.43
9/24/2019,0.41,0.44,"1,483,878",0.44,0.42
9/25/2019,0.41,0.42,"403,476",0.44,0.43
9/26/2019,0.41,0.42,"383,076",0.44,0.42
9/27/2019,0.4,0.42,"354,083",0.43,0.42
9/30/2019,0.4,0.42,"621,889",0.42,0.41
10/1/2019,0.38,0.41,"527,791",0.41,0.39
10/2/2019,0.38,0.39,"1,025,752",0.41,0.39
10/3/2019,0.36,0.39,"1,003,480",0.41,0.38
