Date,Low,Open,Volume,High,Close
11/19/2019,"1,518.56","1,518.56","24,995","1,554.98","1,543.56"
11/20/2019,"1,541.22","1,545.51","36,178","1,561.12","1,547.51"
11/21/2019,"1,520.15","1,542.83","24,931","1,551.00","1,533.31"
11/22/2019,"1,520.15","1,535.12","23,531","1,549.33","1,535.72"
11/25/2019,"1,521.20","1,536.23","39,355","1,569.74","1,536.68"
11/26/2019,"1,525.15","1,533.64","49,884","1,544.60","1,534.84"
11/27/2019,"1,518.01","1,549.99","27,794","1,549.99","1,532.56"
11/29/2019,"1,518.58","1,530.96","16,183","1,541.49","1,535.00"
12/2/2019,"1,505.47","1,529.90","27,785","1,531.63","1,527.16"
12/3/2019,"1,500.51","1,518.66","30,777","1,531.43","1,520.24"
12/4/2019,"1,512.01","1,515.50","33,221","1,526.57","1,512.90"
12/5/2019,"1,514.70","1,519.13","17,346","1,541.70","1,541.70"
12/6/2019,"1,530.73","1,546.96","20,178","1,553.10","1,530.73"
12/9/2019,"1,528.05","1,532.30","15,528","1,538.68","1,532.30"
12/10/2019,"1,517.50","1,533.74","19,090","1,534.70","1,526.06"
12/11/2019,"1,518.20","1,529.28","12,507","1,532.00","1,529.00"
12/12/2019,"1,506.00","1,527.61","19,302","1,527.61","1,514.87"
12/13/2019,"1,506.88","1,513.04","15,019","1,515.31","1,514.49"
12/16/2019,"1,505.00","1,510.15","40,332","1,516.28","1,516.28"
12/17/2019,"1,468.94","1,516.47","36,438","1,518.11","1,480.00"
12/18/2019,"1,461.78","1,481.52","34,617","1,481.52","1,469.16"
12/19/2019,"1,465.39","1,468.90","38,270","1,485.76","1,479.20"
12/20/2019,"1,483.61","1,483.61","88,271","1,528.37","1,522.61"
12/23/2019,"1,499.61","1,521.05","29,181","1,521.05","1,501.53"
12/24/2019,"1,501.60","1,503.90","6,497","1,509.00","1,501.60"
12/26/2019,"1,491.35","1,504.51","11,955","1,527.66","1,517.01"
12/27/2019,"1,497.51","1,518.38","14,998","1,521.86","1,497.51"
12/30/2019,"1,491.62","1,500.07","12,236","1,501.45","1,493.91"
12/31/2019,"1,488.47","1,496.04","23,730","1,500.00","1,488.47"
1/2/2020,"1,476.37","1,494.33","29,721","1,517.04","1,517.04"
1/3/2020,"1,502.00","1,509.23","25,622","1,548.35","1,533.78"
1/6/2020,"1,532.29","1,533.74","28,910","1,562.96","1,550.50"
1/7/2020,"1,542.70","1,552.27","23,996","1,570.00","1,554.97"
1/8/2020,"1,537.57","1,557.39","23,102","1,565.00","1,550.00"
1/9/2020,"1,553.62","1,553.62","26,289","1,585.05","1,581.90"
1/10/2020,"1,573.57","1,587.00","45,385","1,633.00","1,615.48"
1/13/2020,"1,611.15","1,612.61","50,943","1,696.83","1,689.74"
1/14/2020,"1,653.00","1,689.74","26,650","1,713.15","1,668.37"
1/15/2020,"1,664.10","1,665.99","25,038","1,709.00","1,669.61"
1/16/2020,"1,648.13","1,668.00","27,345","1,668.69","1,655.88"
1/17/2020,"1,630.00","1,656.88","28,668","1,656.88","1,630.63"
1/21/2020,"1,614.98","1,626.14","37,195","1,640.61","1,619.79"
1/22/2020,"1,625.21","1,625.21","39,617","1,656.53","1,650.44"
1/23/2020,"1,657.98","1,657.98","29,371","1,707.80","1,703.47"
1/24/2020,"1,704.00","1,708.06","47,780","1,764.22","1,737.20"
1/27/2020,"1,680.00","1,717.90","35,033","1,734.87","1,706.84"
1/28/2020,"1,700.16","1,711.10","16,211","1,733.06","1,719.31"
1/29/2020,"1,690.00","1,718.68","16,921","1,718.68","1,701.36"
1/30/2020,"1,698.05","1,698.05","7,972","1,719.17","1,716.30"
1/31/2020,"1,700.00","1,717.27","20,522","1,731.71","1,704.03"
2/3/2020,"1,700.44","1,706.72","26,916","1,762.93","1,738.57"
2/4/2020,"1,723.14","1,750.16","19,766","1,768.92","1,723.14"
